"Subject","rt","stimulus","TranscriptionKorean","Rating","CodingForStimulus","responseType","Romanisation","Age","Gender","AgeOfL2Onset","LivedinEnglishSpeakingCountry","OtherForeignLanguages","AgeOfOtherL2Onset","DescribeOtherL2Experience"
"K_L2_001",24794,"mthik","ㅇ,ㅜ,ㅁ,ㅌ,ㅣ","5",1,"ResponseActual","#,u,m,th,i",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",8739,"sikot","ㅅ,ㅣ,ㄱ,ㅗ,ㅈ","7",2,"ResponseActual","s,i,k,o,c",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",15264,"khwichon","ㅋ,ㅟ,ㅊ,ㅗ,ㄴ","7",3,"ResponseActual","kh,wi,ch,o,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",21791,"thwam","ㅌ,ㅜ,ㅇ,ㅘ,ㅁ","4",4,"ResponseActual","th,u,ng,wa,m",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",10157,"tnunong","ㄴ,ㅜ,ㄴ,ㅗ,ㅇ","5",5,"ResponseActual","n,u,n,o,ng",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",12284,"nkhuchom","ㅇ,ㅜ,ㅁ,ㅋ,ㅜ,ㅊ,ㅗ,ㄴ","5",6,"ResponseActual","#,u,m,kh,u,ch,o,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",16402,"cmoman","ㅈ,ㅡ,ㅁ,ㅗ,ㅁ,ㅏ,ㄴ","4",7,"ResponseActual","c,eu,m,o,m,a,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",10855,"khut","ㅋ,ㅜ,ㅅ","6",8,"ResponseActual","kh,u,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",9983,"kmamun","ㄱ,ㅡ,ㅁ,ㅏ,ㅁ,ㅜ,ㄴ","6",9,"ResponseActual","k,eu,m,a,m,u,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",19780,"nthimong","ㅇ,ㅡ,ㄴ,ㅌ,ㅣ,ㅁ,ㅗ,ㅇ","5",10,"ResponseActual","#,eu,n,th,i,m,o,ng",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",11355,"thukhat","ㅌ,ㅜ,ㅋ,ㅏ,ㅅ","7",11,"ResponseActual","th,u,kh,a,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",9747,"taphik","ㄷ,ㅏ,ㅍ,ㅣ,ㄱ","7",12,"ResponseActual","t,a,ph,i,k",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",8617,"twamot","ㄷ,ㅘ,ㅁ,ㅗ,ㅅ","7",13,"ResponseActual","t,wa,m,o,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",5554,"tup","ㄷ,ㅜ,ㅂ","7",14,"ResponseActual","t,u,p",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",7525,"cnaphin","ㅈ,ㅡ,ㄴ,ㅏ,ㅍ,ㅣ,ㄴ","7",15,"ResponseActual","c,eu,n,a,ph,i,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",15766,"npucap","ㅇ,ㅡ,ㄴ,ㅂ,ㅜ,ㅈ,ㅏ,ㅂ","4",16,"ResponseActual","#,eu,n,p,u,c,a,p",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",12435,"knot","ㄱ,ㅡ,ㄴ,ㅗ,ㅅ","6",17,"ResponseActual","k,eu,n,o,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",7499,"khnap","ㅋ,ㅡ,ㄴ,ㅏ,ㅂ","7",18,"ResponseActual","kh,eu,n,a,p",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",6628,"chnuk","ㅊ,ㅡ,ㄴ,ㅜ","7",19,"ResponseActual","ch,eu,n,u",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",11275,"swikhat","ㅅ,ㅟ,ㅋ,ㅏ,ㅅ","7",20,"ResponseActual","s,wi,kh,a,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",9764,"tmichut","ㅁ,ㅣ,ㅊ,ㅜ,ㅅ","4",21,"ResponseActual","m,i,ch,u,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",10150,"mkit","ㅇ,ㅜ,ㅁ,ㄱ,ㅣ,ㅅ","4",22,"ResponseActual","#,u,m,k,i,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",6914,"chumik","ㅊ,ㅜ,ㅁ,ㅣ","7",23,"ResponseActual","ch,u,m,i",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",15165,"twak","ㄷ,ㅘ","5",24,"ResponseActual","t,wa",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",4639,"tin","ㄷ,ㅣ,ㄴ","7",25,"ResponseActual","t,i,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",6012,"cwit","ㅈ,ㅟ,ㅅ","6",26,"ResponseActual","c,wi,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",8607,"chwikhong","ㅊ,ㅟ,ㅋ,ㅗ,ㅇ","7",27,"ResponseActual","ch,wi,kh,o,ng",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",9758,"nkat","ㅇ,ㅡ,ㅁ,ㄱ,ㅏ,ㅅ","5",28,"ResponseActual","#,eu,m,k,a,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",13009,"pmochun","ㅁ,ㅜ,ㅊ,ㅜ,ㄴ","4",29,"ResponseActual","m,u,ch,u,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",12076,"khithuk","ㅊ,ㅟ,ㅌ,ㅜ","7",30,"ResponseActual","ch,wi,th,u",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",10151,"mphuk","ㅇ,ㅡ,ㅁ,ㅍ,ㅜ","6",31,"ResponseActual","#,eu,m,ph,u",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",10692,"khwiphing","ㅋ,ㅟ,ㅍ,ㅣ,ㅇ","7",32,"ResponseActual","kh,wi,ph,i,ng",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",7914,"thwikhip","ㅌ,ㅟ,ㅋ,ㅣ,ㅂ","7",33,"ResponseActual","th,wi,kh,i,p",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",8077,"nakhit","ㄴ,ㅏ,ㅋ,ㅣ,ㅅ","7",34,"ResponseActual","n,a,kh,i,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",12917,"mup","ㅁ,ㅡ,ㅇ,ㅜ,ㅂ","6",35,"ResponseActual","m,eu,#,u,p",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",12989,"mtukin","ㅇ,ㅡ,ㅁ,ㄷ,ㅜ,ㄱ,ㅣ,ㄴ","4",36,"ResponseActual","#,eu,m,t,u,k,i,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",13545,"nchocip","ㅇ,ㅡ,ㅁ,ㅊ,ㅗ,ㅈ,ㅣ,ㅂ","4",37,"ResponseActual","#,eu,m,ch,o,c,i,p",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",5476,"chmop","ㅊ,ㅡ,ㅁ,ㅗ,ㅂ","6",38,"ResponseActual","ch,eu,m,o,p",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",4939,"thinok","ㅌ,ㅣ,ㄴ,ㅗ","6",39,"ResponseActual","th,i,n,o",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",9476,"phmiman","ㅍ,ㅡ,ㅁ,ㅣ,ㅁ,ㅏ,ㄴ","6",40,"ResponseActual","ph,eu,m,i,m,a,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",8496,"twan","ㄷ,ㅘ,ㄴ","7",41,"ResponseActual","t,wa,n",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
"K_L2_001",6526,"chnupot","ㅊ,ㅡ,ㄴ,ㅜ,ㅂ,ㅗ,ㅅ","7",42,"ResponseActual","ch,eu,n,u,p,o,s",27,"남",NA,"없습니다","중국어","18세 1년정도","없습니다"
