"Subject","rt","stimulus","TranscriptionKorean","Rating","CodingForStimulus","responseType","Romanisation","Age","Gender","AgeOfL2Onset","LivedinEnglishSpeakingCountry","OtherForeignLanguages","AgeOfOtherL2Onset","DescribeOtherL2Experience"
"k3b_L2_001",16762,"npucap","ㅇ,ㅡ,ㅇ,ㅂ,ㅜ,ㅈ,ㅏ,ㅂ","""(가능)""",1,"ResponseActual","#,eu,ng,p,u,c,a,p",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",18682,"mthik","ㅁ,ㅡ,ㅇ,ㅌ,ㅣ,ㄱ","""(가능)""",2,"ResponseActual","m,eu,ng,th,i,k",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",30335,"khnothik","ㅋ,ㅡ,ㄴ,ㅗ,ㅌ,ㅣ,ㄱ","""(가능)""",3,"ResponseActual","kh,eu,n,o,th,i,k",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",11752,"sikot","ㅅ,ㅣ,ㄱ,ㅗ,ㅅ","""(가능)""",4,"ResponseActual","s,i,k,o,s",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8087,"cwam","ㅈ,ㅡ,ㄹ,ㅑ,ㅁ","""(불가능)""",5,"ResponseActual","c,eu,l,ya,m",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",6560,"chnuk","ㅊ,ㅡ,ㄴ,ㅠ,ㄱ","""(불가능)""",6,"ResponseActual","ch,eu,n,yu,k",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8920,"mphutam","ㅇ,ㅡ,ㅇ,ㅍ,ㅜ,ㄷ,ㅏ,ㅁ","""(가능)""",7,"ResponseActual","#,eu,ng,ph,u,t,a,m",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8551,"chwiphin","ㅊ,ㅣ,ㅍ,ㅣ,ㄴ","""(가능)""",8,"ResponseActual","ch,i,ph,i,n",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8192,"phnokhing","ㅍ,ㅡ,ㄴ,ㅗ,ㅋ,ㅣ,ㅇ","""(가능)""",9,"ResponseActual","ph,eu,n,o,kh,i,ng",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",7595,"mkit","ㅇ,ㅡ,ㅇ,ㄱ,ㅣ,ㅅ","""(불가능)""",10,"ResponseActual","#,eu,ng,k,i,s",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",13268,"mtukin","ㅇ,ㅡ,ㅇ,ㄷ,ㅜ,ㄱ,ㅟ,ㄴ","""(불가능)""",11,"ResponseActual","#,eu,ng,t,u,k,wi,n",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",7726,"swikhat","ㅅ,ㅟ,ㅋ,ㅏ,ㅅ","""(불가능)""",12,"ResponseActual","s,wi,kh,a,s",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",16246,"thwam","ㅌ,ㅘ,ㅁ","""(불가능)""",13,"ResponseActual","th,wa,m",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",22015,"pmochun","ㅂ,ㅡ,ㅇ,ㅇ,ㅜ,ㅊ,ㅜ,ㄴ","""(가능)""",14,"ResponseActual","p,eu,ng,ng,u,ch,u,n",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8584,"mphuk","ㅇ,ㅡ,ㅁ,ㅍ,ㅜ","""(가능)""",15,"ResponseActual","#,eu,m,ph,u",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8280,"twak","ㄷ,ㅘ,ㄺ","""(가능)""",16,"ResponseActual","t,wa,ㄺ",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8809,"nthimong","ㅇ,ㅡ,ㅇ,ㅌ,ㅣ,ㅁ,ㅗ","""(가능)""",17,"ResponseActual","#,eu,ng,th,i,m,o",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",7341,"khwichon","ㅋ,ㅟ,ㅊ,ㅗ,ㄴ","""(가능)""",18,"ResponseActual","kh,wi,ch,o,n",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",6642,"khithuk","ㅋ,ㅣ,ㅌ,ㅜ","""(가능)""",19,"ResponseActual","kh,i,th,u",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",6441,"chwikhong","ㅊ,ㅟ,ㅋ,ㅗ,ㅇ","""(가능)""",20,"ResponseActual","ch,wi,kh,o,ng",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",5219,"thinok","ㅌ,ㅣ,ㄴ,ㅗ,ㄱ","""(가능)""",21,"ResponseActual","th,i,n,o,k",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",11877,"ntakhip","ㅇ,ㅡ,ㅇ,ㄷ,ㅏ,ㅋ,ㅣ,ㅂ","""(불가능)""",22,"ResponseActual","#,eu,ng,t,a,kh,i,p",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8413,"tmichut","ㄷ,ㅡ,ㅁ,ㅣ,ㅊ,ㅠ","""(가능)""",23,"ResponseActual","t,eu,m,i,ch,yu",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",13704,"mpukham","ㅇ,ㅡ,ㅇ,ㅂ,ㅜ,ㅋ,ㅘ,ㄴ","""(불가능)""",24,"ResponseActual","#,eu,ng,p,u,kh,wa,n",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",8251,"khnap","ㅋ,ㅡ,ㄴ,ㅏ,ㅂ","""(가능)""",25,"ResponseActual","kh,eu,n,a,p",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",9113,"nthaking","ㅇ,ㅡ,ㅇ,ㅌ,ㅏ,ㄱ,ㅣ,ㅇ","""(불가능)""",26,"ResponseActual","#,eu,ng,th,a,k,i,ng",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",9711,"kmamun","ㄱ,ㅡ,ㅁ,ㅏ,ㅁ,ㅜ,ㄴ","""(가능)""",27,"ResponseActual","k,eu,m,a,m,u,n",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
"k3b_L2_001",7064,"nakhit","ㄴ,ㅏ,ㅋ,ㅣ,ㅅ","""(가능)""",28,"ResponseActual","n,a,kh,i,s",NA,"남",NA,"X","일본어, 중국어","각 20세 1년, 18세 6개월","X"
